,userName,numStar,title,reviewDate,reviewContent,numHelpful,numUnhelpful
36,BigChulo,4,Nintendo Switch OLED,3 months ago,"Nintendo Switch does pack quite a punch. 
This OLED model is a nice but rather expensive upgrade.",0,0
37,UNCHARTED,5,Oled switch,7 months ago,Oled makes a difference makes everything look 1000 times better love Nintendo,0,0
38,HANZOO7TF,5,I really like it,6 months ago,I really happy with my switch OLED thank you Best Buy,0,0
39,Berg,5,What the switch should have launched as,1 year ago,"Well this thing is gorgeous. The screen when side-by-side a OG switch shows a drastic increase in quality. The white dock is so much nicer than the original, and brightens up the room.",1,1
40,ChrisM,5,Oled is awesome,1 year ago,"Honestly pretty worth the upgrade I understand why people are mad since they weren’t able to get one I would be also but 10/10 would upgrade. It has better speakers, stand, and a better body.",11,46
41,HalfAMind,3,Nintendo Switch OLED,10 months ago,I say it’s average. If you have a switch already your not missing much. A little bigger screen. Same system setup. I guess it has a more clean feel to it and lighter weight. Nintendo should have included a case for it though. And a screen protector. But you can get one later. If you do get this please before you use it get a tempered glass screen protector. Just so it’s safe. I would of liked to see more options with this. They could of added a lot to it. But if your going to get one no matter how many reviews you read. I say you better use it. Don’t let it sit around collecting dust. Enjoy it. Alright I guess that’s all there is to say about. Oh and it has a better stand in the back.  I like how they put the words OLED to it because if you give a quick glance it says OLD lol and I thought that fit cause it is the same thing as the old one. Just a slightly bigger screen.,2,3
42,Reggie,5,Good upgrade,11 months ago,Walked into bestbuy and was able to find one in this latest restock. Bigger screen and a little more memory. I liked it the new dock is nice too.,0,1
43,Airskillz23,5,Oled,9 months ago,The new screen looks amazing and makes the old one look super dusty.,3,2
44,MrSnkrs,5,Love it!,1 year ago,I love this better than my old switch and switch lite. Much slicker and feels premium.  Just pick this up on launch day and pre order went smooth. 2 thumbs up. No bots manual baby!,3,10
45,excellent,5,It's worth the upgrade from old switch,1 year ago,Very clean and fresh compared to the old switch. the base stand is very much improved. the screen is so brightbeven under the sun. it's worth the upgrade,0,3
46,Gonzalo,5,Switch oled,1 year ago,Best purchase ever made improvements are good than the original switch bright doesn’t feel like a McDonald’s happy meal toy stand works now the color oml,0,0
47,Siso,5,Nintendo Switch Oled,9 months ago,Excellent portable console. Better than the original especially for the eyes.,0,0
48,Srtife87,5,Nintendo Switch,8 months ago,Awesome my 3rd switch in the house a bit different that the others,0,1
49,Veronica,5,Great Deal,11 months ago,I love it. I never had the old version but the colors and screen on this one is very pretty. My kids love it.,0,1
50,LakersandNiners,5,Little guy with a big heart,1 year ago,This little thing is cool! I like how you can always take it with you when you want and small enough to fit in a back pack or purse. Lol,0,0
51,Rat1,5,Switch OLED,1 year ago,The device is amazing. I never had a switch before. Playing Nintendo and other switch games looks amazing on this OLED display.,0,0
52,QuattroAudi,5,Great purchase.,9 months ago,Great product. Great to take on the go. Decent battery life. Good games.,0,0
53,Pollo,5,Major key OLED,9 months ago,Upgraded from the lite version  so yea I’m loving it major key,1,3
54,Sailormoon2007,5,Nintendo switch OLED,11 months ago,Love playing with it bigger screen and it sounds louder than the Nintendo switch and switch lite,0,0
55,NintenDude137,4,Everything worked out as it should have,1 year ago,"I set up my pre-order &amp; jad bo problems picking it up when the time came. I took off 1 star as the box was a bit damaged when I picked it up from the store....I was given no explanation as to why, but then again, I didn't ask either. There was no damamged to the system itself so I let it slide",0,0
56,Anonymous,5,Done,10 months ago,My son really enjoys it very much and takes it everywhere he goes.,0,0
57,DjSoFlo,5,Amazing,10 months ago,Love Nintendo and this has been a slight but huge upgrade!,0,1
58,Saeen,5,I love it,11 months ago,"Excellent display, this was my first switch purchase and it worth every penny.",0,0
59,APPLEwatch3,5,MY SWITCH WHITE OLED,10 months ago,"The best thing i ever buy on best buy, my favorite store in PR",0,0
60,Nani,5,Amazing,11 months ago,In love with my Nintendo Switch Oled..My 8yr old girl loves it!!!,0,0
61,November11,5,Nintendo switch OLED,1 year ago,The next generation of Nintendo gaming great perder anywhere,0,1
62,Fran,5,Love it !,1 year ago,Is a Christmas gift. But I know my son will love it.,0,0
63,Jesus,5,Nintendo Switch OLED,1 year ago,I got one waiting outside this morning. Good job Best Buy!,5,31
64,Gabe,5,Great upgrade,1 month ago,"Great switch if you don’t have the original. This one has a bigger kickstand which I love compared to the original. Comes with double system capacity space at 64gb but I always buy extra space, good if you buy a lot of digital games too. Love the color as well and it has a slightly bigger screen. Other than that I think it preforms like the original so if you have the extra 50 bucks to spend then I’d go for this one. I also bought a nice cover on it which matches the color quite well!",0,0
65,BeckyJoe,5,Amazing screen different from switch lite!,2 weeks ago,I loved my switch lite and almost didn’t update however man I’m glad I did! The screen in this is fantastic! Seriously such a difference! I’m so glad I switched! It truly looks and feels so much better and high quality! It’s been great for playing on the go or even at home when I don’t want to connect to the Tv! If you plan on playing handheld this is the way to go!,0,0
66,BrianO,5,OLED is amazing,3 weeks ago,"Great console, beautiful screen, looks great playing handheld.",0,0
67,Micheal,5,"Small Change, Monumental Difference",1 year ago,"For portable players, this upgrade is a huge one, the increased size and quality of the display, the new Kickstand and Speakers add up to a great value!

The Contrast and Colors on the screen make me want to go back and play all the games in my library just to see how much bigger and better they look in portable now. The blacks are true black, and the general picture just pops significantly more and it really must be seen in person to appreciate. The size of the screen is also insane, while only about an inch bigger, in real use it feels WAYYYYYY more sizable and immersive.

The Kickstand is similar to a Surface Pro, infinitely adjustable and reliable, doesn't fall off If you look at it wrong thank god.

The speakers seem much clearer and louder but I haven't compared side by side.

Also, the Dock is quite nice to look at, added Ethernet is a bonus as well!",6,1
68,Nena,5,Loved it!,4 months ago,The screen is bigger and brighter than the Nintendo Switch. I like the white color it looks sleek and clean. Loved it!,0,0
69,CarolR,5,Fantastic device!!!,1 month ago,"This was a gift for my son. Last handheld console he had was a 3DS XL so when he got this, he was very ecstatic about it. He kept raving about the larger screen and how the colors are so vibrant. He also enjoys using it docked on the 65"" for playing his favorite games. The only downside is its a bit uncomfortable to hold in your hands for long stretches of gaming so he shelled out for a wireless ZELDA controller (his fav character). Other than that, can't say enough good things about this OLED switch. Highly recommend it!",1,0
70,JLev69,5,Great system,1 year ago,"Great system, this is the best idea for entertainment ever.  Keeps all ages busy, very versatile, easy to carry along anywhere I go.  Wider screen makes it easier to see, Graphics look better and I can play with family and friends any and everywhere. The fun is endless.",0,0
71,JrEtwon,5,Best Nintendo Switch,10 months ago,"It's great, best way to play new Nintendo games. The Screen is much better than the regular Switch, the dock and tabletop stand have good improvements too. Only complaint is that I wish it had newer faster hardware than the Original Switch. Also, I LOVE the colors, it is far nicer for a minimalist set up than the previous colorways.",3,0
72,Upgraded,5,Gaming system,1 month ago,"Excellent product, love how lightweight it is and the screen is beautiful on this one",0,0
73,Smurfy43,5,Great Nintendo Switch,1 year ago,"I’ve been wanting to buy a Nintendo Switch for a while but I waited for the new OLED and it was worth it, basically is the same game console as before but with a better screen that gives a great crystal clear HD game vision on all games. The only changes I’ve seen on this switch is the HD screen, the location of the microSD goes , the kickstand ( much better than the previous Nintendo Switch) and an internal 64GB. The speaker could’ve been a little better but overall this Nintnedo switch is awesome.  I couldn’t get the black and white color but this blue and red neon is as great looking. I will recommend that you leave the protecting adhesive film that came with and also you should get a screen protection for the screen since it’s made out of glass.",2,5
74,Duder,5,Lite —&gt; OLED = “WOW”,1 year ago,"I’ll say it’s a worthwhile upgrade from a Switch Lite. I’m brought it to my brothers house to compare an OG Switch with this OLED model, and it’s amazing when comparing. The bezel is smaller, screen = bigger, sound is louder but not better in any other way that I can tell so far. My absolute favorite part about this model is the OLED screen. I tested it by waiting for parts in a game like Yugioh or Super Smash Bros and put my thumb in front of the dark part. I could not see the silhouette of my thumb AT ALL. The black colors are totally black coming from this screen, and I freaking LOVE IT!! Everything pops!! (Don’t let the picture fool you, it’s much better in person, I can promise you that)",0,13
75,Informant,5,Nice game system.,3 weeks ago,"Oled is the way to go, sharp, deep blacks and beautiful contrast .",0,0
76,Xboxguy,5,Top Nintendo Product,1 year ago,"If you're the type of person that likes to game on the go I strongly recommending grabbing the new OLED Nintendo Switch. I preferred to get it in white because it makes it looks very sleek. Although the upgrades aren't insane from the previous model, the new Nintendo Switch OLED screen looks way better than the previous model. I give it a 9/10, that extra point would have been if they included a free game with the console!",2,0
77,THEBIGONE,5,NINTENDO SWITCH OLED ( WHITE ),9 months ago,"OMGGG IT IS SO PRETYYYYY . This is my first Switch that I’ve ever had &amp; did not realize the Oled was this big lmaoooo , it’s also kind of heavy but it looks amazing !!! Definitely worth it !! I added a cute little case to it &amp; a screen protector as soon as I got it as well . I can already tell that I’m going to be addicted to this thing",1,0
78,Qerlak,5,OLED is where it’s at!,1 year ago,"Immediately upon powering it on, you appreciate the popping colors and inky blacks of the screen. That being said, if you own a Switch V2, there really isn’t a point to purchase this. A case can be made for people like me coming from a launch day Switch, double the battery life in handheld is a massive boon.",13,9
79,MIKEY,2,Beware of green tint,11 months ago,The switch was great the color was amazing but I had to return the switch I had a green tint,3,1
80,demodavid,5,Love this thing,9 months ago,Honestly this was such a good upgrade for the switch. I enjoy the slightly bigger screen with the upgraded colors and graphics. If you enjoy tour old switch I fully recommend the upgrade. Ive had mine since Oct and gor the white cons. I havent har any drift woth the cons or any screen distortion that was common on the older models.,0,0
81,JanCrun,5,Perfect Gift for my kiddos,4 months ago,Got this almost a year ago and still love it!!! Seamless design and fast and super sharp and vibrant screen. Got me two extra joycons and family loves it!,0,0
82,Fimmy,5,Best for handheld gaming,1 week ago,"The build quality feels better than the original switch, but even for the joycons. The screen is leagues better than the other switch versions as well, making it the best way to play handheld games.",0,1
83,Michael,5,Worth the upgrade for the screen alone!,3 months ago,"I just upgraded to the OLED Switch after having used the original Switch for the last 5 years or so, and I think it was 100% worth the upgrade. The bigger screen is a MASSIVE improvement over the original model, both in size and brightness/color accuracy. If you're looking to buy a Switch, this is the model to get. The extra $50 compared to the base model is well worth it for the screen alone.",0,0
84,SlyWasHere,4,Nintendo Does It Again!!,1 year ago,"As someone who has a the V2 Switch for years, this new console was a breath of fresh air! Im in love with the new Joycons and the colors popping out on the screen. But, I feel like this console is only for people who had the V2 Switch, or a Switch Lite. The only upgrade that matters is probably the OLED screen, better speakers, bigger screen, a better switch stand, and more storage for the Switch. Other than that, its the same console as before. No better graphics or anything.. But! I really love the bigger screen, speakers and the colors popping out. It makes the games look 100x better. Now, if you really wanna wait for the Switch Pro, go for it! But, if you want something thats a slight upgrade (for a +$50 price tag) , I would go with the OLED.",1,1
85,Angel,5,Upgrade,11 months ago,"I bought the original Nintendo Switch when it came out in 2017.  The upgrade to Switch OLED is great. The brightness and more colorful images, slightly bigger screen makes a difference when playing in handheld mode. I got the White version love it, glad I upgraded. Moving the user to the new SWITCH was a breeze",0,0
86,Havvvv,5,Nintendo Switch OLED,1 year ago,"The moment you turn it on to set it up , the screen looks amazing! Games look so much better. The built quality is more premium. Of course it has the same internals , but all the new features make up for it.",6,4
87,Matt,1,Damaged screen,4 months ago,My switch had a knick on my screen but I live to far to take it back or do a warranty claim,2,4
88,KouL,5,Nintendo switch oled,1 month ago,"Pros: Bigger screen, more storage compared to previous model, and screen brightness and clarity is alot better than previous model.
CONS: NON",0,0
89,Matt,5,Awesome!,1 year ago,"What a fun machine, I love all the capabilities and the new screen looks fantastic. All of the small updated to this model really make it great, I’m glad I waited!",2,0
90,Michelle,5,I love it,3 months ago,I had been eyeing a Nintendo console for a while now. I decided to purchase the OLED and I’m very very happy with my purchase. I love the vibrant colors and the fact that I detach the joycons. I’m really enjoying my Nintendo. I made the right choice to buy it.,0,1
91,Paye,5,Nintendo switch oled,1 week ago,What a console!!! Awesome graphics! Super cool i like it,0,0
92,JustAnotherDude,5,Oled is expected!,1 month ago,OLED worked great and expected.  Got it for my girlfriend and we're having fun in animal crossing!,0,0
93,DesertStormVet,4,Great game for kids and people with small hands.,1 month ago,Nintendo is always had a great reputation in gaming! Lots of fun and educationally thought out! The controlers feel way small in my hands and this is the reason for only 4 stars. So many great games that kind of have the same feel. Also a reason for only 4 stars.,0,0
94,0dbcam,5,Solid 10/10 Nintendo Switch Gaming System,11 months ago,A solid gaming console. Nintendo still delivers an excellent system with easy-to-use functionality. The selling feature of this system is the flexible portability and fun gaming library. Plus an excellent game platform for multiplayer fun! This OLED model display is bright and clear; the screen size is nicely enlarged with fewer bezels (Making this system a more enjoyable experience in handheld form) and the back stand for the switch is upgraded to a solid stand with different levels of adjustability (the built quality is improved over the previous version's flimsy cheap stand). Fun for kids and adults alike!,0,0
95,PyroFireZeroX,5,BUY IT! BUY IT NOW!,11 months ago,This is the best Hand Held device I've ever owned. TOTALLY worth every single extra penny for the screen. Its even bigger than the original and has a WAY more sturdy stand to it. it takes regular Micro-SD cards but already comes with 64gb of storage! don't waste money on the original or a switch lite(unless you want to be able to put the Lite in your pocket but I rock big enough pockets that I can fit my OLED in them no problem(BUT GET A CARRY CASE) so that's no issue for me) and get yourself the premium model that will last longer and go the distance for some great games!,1,1
96,Damaged,5,Much Much Better Than I Expected,1 year ago,"This is a much bigger upgrade than I expected from my Switch Lite. The screen is simply outstanding, and feels much bigger than I thought it would be. The colors pop, the contrast is infinite, and the darks are pitch black. Despite the larger screen size, resolution doesn’t seem adversely affected. The kickstand is worlds better than the original. It feels beefy, and holds its position at almost any angle. The sound is great, but honestly, I don’t notice too much of a difference. The white Joycons are clean and crisp. If you don’t have a Switch, or only have a Switch Lite or Launch Switch, this is an absolute must. If you have a Switch V2, it’s debatable.",0,0
97,Ally,5,White Oled Switch,1 year ago,Amazing product! Love the color and the picture quality! I picked up my preorder today and managed to snag another Oled Switch around 2:30 pm today ill be getting that next week. Woohoo!,4,112
98,Rico,5,My first switch!,1 year ago,"I was not a big fan of the screen on the original switch, this is more catered towards the handheld users and also to drive people to play it handheld more. I love it, you can immediately tell how much bigger the screen is as soon as you power it on. Vibrant colors, deep blacks and it feels like you’re playing at a high refresh rate. You won’t regret picking one up!",18,15
99,Ibuytekthings,5,Great upgrade,1 year ago,"A great product. I’ve had the original as wel as the lite and this does make the portable experience so much better.

The screen is very crispy - you would think such a small adjustment to 7’ would sound weak on paper but it’s perfect. I’m amazed with the colors and overall representation.

The stand is so much better. It’s not flimsy. On airplanes, when I tried to have it stay up on the tray, no good. This new stand works like a charm.

No regrets making the plunge - Nintendo nailed it. It’s plenty fast/snappy for me, and I know lots looking for more speed and feeds, but you don’t need it. It plays all my games very well.",5,8
100,Famous408,5,Amazing screen!,1 year ago,"Love this system, it’s a great improvement over the base console , the screen is absolutely gorgeous and makes every game look more colorful and crisp. The kickstand is super nice and the whole console itself  just has an overall more premium feel too it. Best Buy was the only place I could find with a decent amount of consoles in stock. I’m happy I got one and if your thinking about upgrading or just grabbing your first switch, I highly recommend it.",1,0
101,Revolutionx,5,OLED,1 year ago,"Internal spec wise there’s not much difference to the original switch. However that screen just looks so much nicer and bigger than anticipated in person. It’s just one of those things you can’t gauge in pictures. You just gotta see for yourself personally. You really notice the difference side by side.

If you don’t have a switch yet. Pick this up!
If you already have a switch and money isn’t an issue, sure go ahead and upgrade. You deserve to treat yourself!

If the two above don’t apply to you. Don’t worry. Your OG Switch or even Switch Lite is just fine.",3,7
102,Jersey,5,Switch Oled,9 months ago,Beautiful system ...the colors are vived and it is worth every penny..,0,0
103,Walkofroses08,5,Beautiful,1 year ago,"I hadn't had a swotch before and personally i felt getting the OLED would benefit me. The journey to get it was NOT easy i was up ALL night, went to a ton id stores and finally refreshed Best buy page and I was able to purchase it. Its worth the wait...the screen, kick stand all those lil features are worth it to me.",11,9
104,UltimateThorn,5,Better than expected,1 year ago,"Before the unit came out and based off of all of the pre-release reviews, I believed that this was a useless release but boy was I wrong! The bigger, more vibrant and amazing blacks oled scene makes the switch in handheld lode a completely different experience. Do yourself a favor and get the switch oled. You won't regret it.",1,0
105,Terence,5,Nintendo oled ftw,1 year ago,"Finally got me hand on this bad boy and I’m not disappointed, beautiful screen!",0,0
106,BeverlyM,4,I love it,1 month ago,I love it. It's so fun and I am excited to learn to play more games in the future. Such a great gift.,0,0
107,LockDown,5,Dont 2nd guess... do it... upgrade,1 year ago,"I got rid if my regular switch to get the OLED version, since the screen was made by Samsung and anyone who knows Samsung OLED TV's knows its pure quality. 
And now thats exactly what the OLED is now... pure quality. 
All of my games look phenomenal. 
A definitive upgrade for sure.",0,0
108,Nelson,5,Loving the larger and more colorful screen,1 year ago,"Had the older Switch model and compared to this, the larger OLED screen makes gaming more enjoyable and the improved battery life makes a huge difference. Also, the speakers have been slightly improved and the stand is more durable than the flimsy one on the old Switch.",1,1
109,Ticktock,4,Great switch… get it. But buy screen protector,10 months ago,"Best switch yet, u can clearly see the change in graphics and brightness. Still one flaw though, I bought a screen protector for the switch just in case the charging case still scratches the switch when u dock it. N yup, my switch is full of scratches on the side Bc it scratches the screen. So don’t buy this switch n charge it right away if you don’t put the screen protector on it first. I got the one from Nintendo, so it wasn’t an Amazon screen protector too.",0,0
110,Erin,5,I’m obsessed!,1 year ago,"I LOVE this switch! I’ve been playing on a switch lite for a little over a year, and this feels like a major upgrade! The screen looks fantastic and it’s great to be able to play on the TV. Really like the kickstand for hand held mode as well.",0,0
111,Lena,5,⭐️⭐️⭐️⭐️⭐️,7 months ago,"I really like it and enjoy it a lot the screen it bigger than the previous one, the resolution is great!",0,0
112,Aniner1983,5,A+++++++,9 months ago,"The screen size, kickstand and upgraded memory make for a solid upgrade! Zelda: Skyward Sword looks AMAZING on this! I am happy with my purchase.",0,0
113,Coolheadset,5,Nice add on to my Game sets,9 months ago,I already owned a NSL but it’s time for me to get one  for tv use. Its simple and clean design catch my eyes and is really enjoyable.,0,0
114,FineDivine,5,I’m playing games again,11 months ago,"A great addition to entertain my family and me. Very easy set up, lots of fun games to choose from and can even access classic Nintendo games! Fun to play on our 87” TV.",0,0
115,Edwin,5,Cool,10 months ago,This console is one of the best today!  you can play while traveling or you can connect it to a tv.  the best thing is that it has an oled screen.,0,0
116,Giothegamer,5,The upgraded is the best,1 year ago,Gotta admit the Fist switch is amazing but the OLED woth the bigger a brighter screen it's dope worth investment they shoud come out in stock so people can buy easily,0,1
117,Brownkid,5,New OLED is worth it!,1 year ago,The new OLed screen is amazing! If you have a chance between the old switch and the new one. Highly recommend the new one. The colors can’t even compare when looking at them side by side.,0,0
118,Phattztoyz,5,Best Handheld Console Ever!,11 months ago,Nintendo Switch Oled Rocks! So happy I waited to buy this new system definitely worth it. I'll be playing this console for a long time.,0,0
119,Edwardo,5,Nintendo,1 year ago,Is just a little bigger than the regular Nintendo you probably won’t notice but the colors are brighter make everything look nice I recommended,0,0
120,Redrobbster,5,Worth the extra $50!,11 months ago,"Well worth the extra $50. Better and bigger screen, better build quality, and dock with Ethernet port for high speed internet.",0,0
121,Junhan,5,Just buy it,1 year ago,"Just buy it, avoid any older Switch. It's worth. The all new screen makes a lot differences, even though the resolution is still 720p.",0,0
122,FernandoSaTx,5,I love it,1 year ago,It’s the screen resolution plus the fast download speed when wired connected to the internet makes it a lot better than the regular switch,1,1
123,Dingo,5,Amazing buy!,1 year ago,"Screen is very bright and sharp, stand is a great upgrade, etc. If you have the money and are looking to buy one it’s a must have!",0,0
124,BigE,5,Awesome device!,10 months ago,"Great product, the screen is huge! It feels like the future of gaming!",0,0
125,Gamer1368,5,Oled Switch,11 months ago,Best upgrade ever the graphics are Amazing and the kickstand angles are improved,0,0
126,Moiali13,5,Much better screen,1 year ago,The console it’s perfect! I was using it for 2 weeks and is much better that the previous generation,0,1
127,LaughingCoffin,5,Oled,1 year ago,This model is actually really good compared to the other switch. Screen is bigger and better.,0,0
128,Slim,5,Switch pro,11 months ago,Loving the switch pro its worth every penny you get bigger screen,0,0
129,Victor,5,Nintendo switch oled,11 months ago,Best system I ever bought love the oled screen and the battery,0,0
